Паяльник;Production;Ok;Паяльник;;;
Ветродуй (203102);Production;Ok;Ветродуй;203102;;
Ветродуй (00182206);Production;Ok;Ветродуй;00182206;;
Паяльник;Production;Ok;Паяльник;;;
Паяльник;Production;Ok;Паяльник;;;
Ручной сканер (210134240);Production;Ok;Ручной сканер;210134240;;
Ручной сканер (210134235);Production;Ok;Ручной сканер;210134235;;
Ручной сканер (210134234);Production;Ok;Ручной сканер;210134234;;
Ручной сканер (210134237);Production;Ok;Ручной сканер;210134237;;
Ручной сканер (210134242);Production;Ok;Ручной сканер;210134242;;
Ручной сканер (B0311185);Production;Ok;Ручной сканер;B0311185;;
Ветродуй (J080012);Production;Ok;Ветродуй;J080012;;21.11.22
Станция эвакуации фреона (???);Production;Ok;Станция эвакуации фреона;???;;г Астана
Шуруповерт (44047605000163E2022);Production;Ok;Шуруповерт;44047605000163E2022;;
Фен технический;Production;Ok;Фен технический;;;
Маркиратор (PGM211336206022);Production;Ok;Маркиратор;PGM211336206022;;
Сварочный аппарат (42492944000);Production;Ok;Сварочный аппарат;42492944000;;
Манифолд (000001);Production;Ok;Манифолд;000001;;
Фен технический (211202594);Production;Ok;Фен технический;211202594;;
Перфоратор (Z43387);Production;Ok;Перфоратор;Z43387;;
Электролобзик (65874G);Production;Ok;Электролобзик;65874G;;
Электролобзик (65873G);Production;Ok;Электролобзик;65873G;;
Перфоратор (00213);Production;Ok;Перфоратор;00213;;
Шуруповерт (000002);Production;Ok;Шуруповерт;000002;;
Шуруповерт (000003);Production;Ok;Шуруповерт;000003;;
Шуруповерт (081641);Production;Ok;Шуруповерт;081641;;
Шуруповерт (081639);Production;Ok;Шуруповерт;081639;;
Перфоратор (000469);Production;Ok;Перфоратор;000469;;
Перфоратор (00650);Production;Ok;Перфоратор;00650;;
Шуруповерт (n/a);Production;Ok;Шуруповерт;n/a;;
Шуруповерт (W0REVL5);Production;Ok;Шуруповерт;W0REVL5;;
Сварочный аппарат (00005);Production;Ok;Сварочный аппарат;00005;;
Сварочный аппарат (00006);Production;Ok;Сварочный аппарат;00006;;Вышел из строя
Перфоратор (00213);Production;Ok;Перфоратор;00213;;
Перфоратор (120301000259);Production;Ok;Перфоратор;120301000259;;
Фонарик;Production;Ok;Фонарик;;;
Фонарик;Production;Ok;Фонарик;;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик;Production;Ok;Фонарик;;;
Фонарик;Production;Ok;Фонарик;;;
Фонарик;Production;Ok;Фонарик;;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик;Production;Ok;Фонарик;;;
Фонарик;Production;Ok;Фонарик;;;
Программатор;Production;Ok;Программатор;;;
Зеркало (n/a);Production;Ok;Зеркало;n/a;;
Зеркало;Production;Ok;Зеркало;;;
Зеркало;Production;Ok;Зеркало;;;
Зеркало;Production;Ok;Зеркало;;;
Зеркало;Production;Ok;Зеркало;;;
Коврик огнеупорный (â00001);Production;Ok;Коврик огнеупорный;â00001;;
Коврик огнеупорный (000002);Production;Ok;Коврик огнеупорный;000002;;
Тележка;Production;Ok;Тележка;;;
Болгарка (011019);Production;Ok;Болгарка;011019;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Фонарик (n/a);Production;Ok;Фонарик;n/a;;
Пылесос промышленный;Production;Ok;Пылесос промышленный;;;Сломана вилка
Болгарка (000001);Production;Ok;Болгарка;000001;;
Болгарка;Production;Ok;Болгарка;;;
Болгарка (000002);Production;Ok;Болгарка;000002;;
Болгарка (1B-004/212/0183);Production;Ok;Болгарка;1B-004/212/0183;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;21.11.2022 Сумка для инструментов Набор инструментов (трещотка, головка, биты) Набор ключей Набор отверток Паяльник Клещи 165мм, 250мм Ключ разводной  Набор шестигранников Рулетка Нож Плоскогубцы Бокорезы Длинногубцы Удлинитель 40м
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;26.01.22 Сумка для инструментов 02.05.2023 Набор головок (на складе с 28.02.24) Уровень (со склада)  28.02.24 Набор инструментов 57 предметов
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;13.03.23 Сумка для инструмента Набор Инструментов (ключи рожковые, трещетка, головки, биты) 82 предмета Паяльник Круглогубцы Набор инструментов (длинногубцы,отвертка-тестер,пассатижи,молоток,отвертки,кусачки,ключ разводной, нож, рулетка) 22 предмета Перчатки Рулетка Нож Уровень  28.11.23 TKL20-006-016 IEK Клещи обжимные
Фонарик;Production;Ok;Фонарик;;;
Шуруповерт;Production;Ok;Шуруповерт;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;10.04.23 Рюкзак для инструментов
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;10.04.23 Рюкзак для инструментов
Вакуумный насос (250512);Production;Ok;Вакуумный насос;250512;;
Вакуумный насос (2204);Production;Ok;Вакуумный насос;2204;;
Вакуумный насос (???);Production;Ok;Вакуумный насос;???;;
Вакуумный насос;Production;Ok;Вакуумный насос;;;
Станция эвакуации фреона;Production;Ok;Станция эвакуации фреона;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;;
Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;
Ветродуй (203107);Production;Ok;Ветродуй;203107;;
Перфоратор (000001);Production;Ok;Перфоратор;000001;;
Болгарка (20101500127);Production;Ok;Болгарка;20101500127;;
Электрорубанок;Production;Ok;Электрорубанок;;;
Зарядное устройство (575825/08-2);Production;Ok;Зарядное устройство;575825/08-2;;
Пчелка (00261794);Production;Ok;Пчелка;00261794;;
Рация;Production;Ok;Рация;;;
Рация;Production;Ok;Рация;;;
Рация;Production;Ok;Рация;;;
Рация;Production;Ok;Рация;;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Трубогиб;Production;Ok;Трубогиб;;;
Развальцовка / Труборасширитель;Production;Ok;Развальцовка / Труборасширитель;;;
Развальцовка / Труборасширитель;Production;Ok;Развальцовка / Труборасширитель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Пчелка (000408);Production;Ok;Пчелка;000408;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Паяльник;Production;Ok;Паяльник;;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Трубогиб;Production;Ok;Трубогиб;;;
Сварочный аппарат;Production;Ok;Сварочный аппарат;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.23 Сумка с инструментом  Рулетка 8 м  Бокорезы (на складе с 28.02.24) Круглогбуцы (на складе с 28.02.24)
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.23 Круглогубцы
Сварочный аппарат;Production;Ok;Сварочный аппарат;;;склад г Астана
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Сумка для инструмента (сдал на склад 28.02.24) Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников 28.02.24 Сумка для инструмента
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 -Сумка для инструмента Набор головок -Набор отверток Набор рожковых ключей Рулетка 8 м -Молоток  Уровень (со склада) Разводной ключ -Нож Плоскогубцы -Бокорезы -Круглогубцы -Набор шестигранников   31.01.24 Сдал: Сумка для инструмента, Набор отверток, Молоток, Нож, Бокорезы, Круглогубцы, Набор шестигранников
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Рулетка 8 м
Кабелерез;Production;Ok;Кабелерез;;;02.05.23
Кабелерез;Production;Ok;Кабелерез;;;02.05.23
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Набор отверток Рулетка 8 м
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Набор отверток
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Сумка для инструмента Набор отверток Молоток Плоскогубцы Бокорезы Круглогубцы Газовый ключ
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Сумка для инструмента Набор головок(со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ (со склада) Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;02.05.2023 Сумка для инструмента Набор головок (со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы - замена 22.04.24 Круглогубцы Набор шестигранников (со склада)
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;
Штроборез (07W32 00720);Production;Ok;Штроборез;07W32 00720;;
Пчелка (00001);Production;Ok;Пчелка;00001;;
Пчелка (00002);Production;Ok;Пчелка;00002;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Болгарка (17-033/2/0237);Production;Ok;Болгарка;17-033/2/0237;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;19.05.2023
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;19.05.2023
Шуруповерт (W12G6PD);Production;Ok;Шуруповерт;W12G6PD;;
Шуруповерт (W12GGC5);Production;Ok;Шуруповерт;W12GGC5;;
Шуруповерт (W12G6N5);Production;Ok;Шуруповерт;W12G6N5;;
Удлинитель (???);Production;Ok;Удлинитель;???;;
Удлинитель;Production;Ok;Удлинитель;;;
Удлинитель;Production;Ok;Удлинитель;;;
Удлинитель;Production;Ok;Удлинитель;;;
Удлинитель;Production;Ok;Удлинитель;;;
Кабелерез;Production;Ok;Кабелерез;;;
Удлинитель;Production;Ok;Удлинитель;;;3*1,5 25 м
Удлинитель;Production;Ok;Удлинитель;;;3*1,5 25 м
Сварочный аппарат;Production;Ok;Сварочный аппарат;;;
Сварочный аппарат;Production;Ok;Сварочный аппарат;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;28.07.23 Сумка для инструментов STST1-73615 Stanley											 Набор инструментов 23110 Proxxon											 Набор отверток 0-65-009 Stanley											 Набор ключей 23800 Proxxon											 Рулетка 0-30-457 Stanley											 Молоток YT-4563 YATO																					 Ключ разводной YT-21651 YATO											 Нож 0-10-088 Stanley											 Плоскогубцы STHT0-74456 Stanley																						 Бокорезы YT-20433 YATO
Кабелерез;Production;Ok;Кабелерез;;;
Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;;
Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;;
Маркиратор (PGM2102212003408);Production;Ok;Маркиратор;PGM2102212003408;;
Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;;
Болгарка (000002);Production;Ok;Болгарка;000002;;
Пылесос промышленный;Production;Ok;Пылесос промышленный;;;KFI 357 6.959-130.0  - мешки
Пылесос промышленный;Production;Ok;Пылесос промышленный;;;
Перфоратор (000076);Production;Ok;Перфоратор;000076;;Требуется смазка
Пчелка (420490);Production;Ok;Пчелка;420490;;
Кабелерез;Production;Ok;Кабелерез;;;
Манифолд;Production;Ok;Манифолд;;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Манифолд;Production;Ok;Манифолд;;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Болгарка;Production;Ok;Болгарка;;;
Перфоратор (0 611 272 100);Production;Ok;Перфоратор;0 611 272 100;;
Гидравлический / ручной пресс (2206);Production;Ok;Гидравлический / ручной пресс;2206;;
Перфоратор (020808190);Production;Ok;Перфоратор;020808190;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;
Пила;Production;Ok;Пила;;;
Присоски;Production;Ok;Присоски;;;
Присоски;Production;Ok;Присоски;;;
Присоски;Production;Ok;Присоски;;;
Пчелка (170341G);Production;Ok;Пчелка;170341G;;
Сварочный аппарат (8070152);Production;Ok;Сварочный аппарат;8070152;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;28.02.24 Бокорезы Круглогубцы
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;28.02.24 Сумка для инструментов Молоток
Сумка с инструментом;Production;Ok;Сумка с инструментом;;;28.02.24 Сумка с инструментом 22.04.24 Бокорезы
